record_id,date,time,hour_of_day,day_of_week,month,city,state,road_type,road_surface_condition,road_width_meters,number_of_lanes,speed_limit_kmh,average_speed_kmh,weather_condition,temperature_celsius,humidity_percent,visibility_km,traffic_density,light_condition,signal_present,road_divider_present,vehicle_type_involved,vehicles_involved,pedestrians_nearby,accident_type,risk_score,severity_level,accident_occurred
IND-2022-0001,2022-01-26,11:00,11,Wed,1,Ahmedabad,Gujarat,State Highway,Dry,9.4,6,80,53,Haze,17.7,84,0.5,0.48,Daylight,1,0,Motorcycle,5,1,Single Vehicle,40,Medium,0
IND-2022-0002,2022-06-13,22:36,22,Mon,6,Lucknow,Uttar Pradesh,State Highway,Dry,9.1,4,30,27,Fog,19.3,25,3.6,0.42,Partial Light,0,1,Truck,6,29,Hit and Run,60,High,1
IND-2022-0003,2022-03-13,18:59,18,Sun,3,Delhi,Delhi,State Highway,Dry,6.3,6,30,27,Clear,15.7,65,8.4,0.51,Daylight,0,0,Car,2,42,Rollover,10,Low,0
IND-2023-0004,2023-07-25,15:08,15,Tue,7,Ahmedabad,Gujarat,State Highway,Potholed,8.7,6,120,102,Clear,43,60,2.3,0.34,Daylight,1,0,Auto Rickshaw,2,41,Pedestrian Hit,18,Low,0
IND-2023-0005,2023-07-29,07:16,7,Sat,7,Bangalore,Karnataka,Rural Road,Dry,10.6,5,40,40,Rain,13.8,100,0.7,0.18,Street Light,0,1,Truck,2,50,Multiple Vehicle,40,Medium,0
IND-2022-0006,2022-01-12,07:23,7,Wed,1,Vadodara,Gujarat,National Highway,Under Construction,5.4,1,50,34,Fog,43.4,53,4.6,0.49,No Light,1,0,Auto Rickshaw,5,48,Side Collision,75,Critical,1
IND-2023-0007,2023-07-07,05:35,5,Fri,7,Lucknow,Uttar Pradesh,Ring Road,Flooded,13.4,1,30,40,Dust Storm,20.8,27,8.4,0.89,Street Light,1,0,Bus,2,36,Side Collision,70,High,1
IND-2023-0008,2023-06-25,20:37,20,Sun,6,Delhi,Delhi,Urban Road,Dry,6.1,1,40,46,Drizzle,23.1,86,6.8,0.46,Street Light,1,0,Motorcycle,4,7,Rollover,40,Medium,0
IND-2022-0009,2022-03-14,16:27,16,Mon,3,Delhi,Delhi,National Highway,Dry,6.1,4,80,63,Haze,14.6,93,2.3,0.7,Daylight,1,0,Truck,5,30,Head-On Collision,33,Medium,0
IND-2022-0010,2022-02-25,17:41,17,Fri,2,Hyderabad,Telangana,Flyover,Dry,6.1,1,120,82,Fog,14.9,43,5.5,0.27,Dawn/Dusk,1,0,Truck,3,29,Rear-End Collision,40,Medium,0
IND-2022-0011,2022-01-16,02:03,2,Sun,1,Thiruvananthapuram,Kerala,Ring Road,Under Construction,11.7,3,40,51,Dust Storm,10.1,69,1.8,0.91,Daylight,1,1,Bus,3,50,Side Collision,83,Critical,1
IND-2023-0012,2023-07-10,22:39,22,Mon,7,Pune,Maharashtra,State Highway,Dry,12.5,4,80,58,Clear,16.5,96,1,0.96,Dawn/Dusk,0,0,Bicycle,1,43,Rear-End Collision,43,Medium,0
IND-2023-0013,2023-11-05,19:22,19,Sun,11,Mumbai,Maharashtra,Urban Road,Flooded,10,5,40,32,Rain,26,29,6.5,0.22,Daylight,0,0,Motorcycle,1,29,Rollover,45,Medium,0
